fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220525 151850	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	473	TRUE	0.0100389709540522	0.686800663682923	6181	834	0.0166011908300106	13166000	51
20220525 151908	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	41	TRUE	0.299365736144168	0.35787998266883	7998	24	0.0221371327085963	12610000	52
20220525 151921	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	60	TRUE	0.192904785212929	0.757109066221353	7999	46	0.0153776248137284	13051000	53
20220525 151929	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	15	TRUE	0.299374298560421	0.996082632093844	7999	752	0.0157433284340946	12792000	54
20220525 151939	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	24	TRUE	0.185371790742583	0.999871174022034	5637	791	0.0159419680930709	12759000	55
20220525 152109	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	723	TRUE	0.0100756989145996	0.676214108969011	8000	523	0.00946583017013958	11682000	56
20220525 152121	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	33	TRUE	0.199603246785719	0.248900177562928	8000	796	0.0176516882826606	12817000	57
20220525 152250	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	458	TRUE	0.010014224144796	0.676267380207274	3747	1024	0.0141897604679158	12937000	58
20220525 152503	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	956	TRUE	0.0101587885621352	0.599997514443526	7998	16	0.0221398166360996	12972000	59
20220525 152718	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	831	TRUE	0.010018025694434	0.200706129736212	2280	757	0.0157264984284176	13354000	60
20220525 153021	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	962	TRUE	0.0100197052825433	0.617293470160873	1879	725	0.0114621763815787	13205000	61
20220525 153216	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	587	TRUE	0.0101090183401759	0.270632344894211	4621	771	0.0146041155363627	13273000	62
20220525 153445	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	83	TRUE	0.0101298471271791	0.265407723242098	17	721	0.0122263164531038	4883000	63
20220525 153613	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	297	TRUE	0.0100894569886503	0.709259846567659	2093	514	0.01540053282783	13252000	64
20220525 153945	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1516	TRUE	0.0104686896328061	0.792822063707211	2345	798	0.00837183522423107	12705000	65
20220525 153954	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.299823771286052	0.78252142620991	6596	109	0.0167545746078491	12819000	66
20220525 154006	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	49	TRUE	0.134904760011049	0.99362926343679	1795	16	0.0126009887312531	12334000	67
20220525 154212	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	459	TRUE	0.0101304932856589	0.535994092072896	3207	742	0.0149069854476099	13445000	68
20220525 154419	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	523	TRUE	0.0103608803871099	0.389322495075108	3001	904	0.0147913300502434	13682000	69
20220525 154716	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1080	TRUE	0.0100364884095581	0.363022915874225	3294	861	0.0146329661772965	13594000	70
20220525 154950	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	842	TRUE	0.0100650773511196	0.364800378088151	2945	1024	0.0146394730213325	13518000	71
