fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220529 020929	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	948	TRUE	999983	0.0100826196848492	0.203568549541462	7061	1023	0.0296989249251528	11537000	93
20220529 021017	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	347	TRUE	999983	0.0208158221102064	0.200215745066498	4172	99	0.0117087381274593	13166000	94
20220529 021028	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	999983	0.299814322695601	0.531556169226031	4150	65	0.0216450422255439	12295000	95
20220529 021038	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	36	TRUE	999983	0.290292140601503	0.292917571226838	8000	41	0.0148982714752977	12591000	96
20220529 021217	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	421	TRUE	999983	0.0100575178555428	0.539313312391757	2910	790	0.0161457123348438	13921000	97
20220529 021242	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	135	TRUE	999983	0.0422992986287321	0.316590661144276	1265	16	0.0158944580011533	13512000	98
20220529 021323	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	234	TRUE	999983	0.010267054800243	0.973084093958836	476	19	0.0136559631052696	13150000	99
20220529 021425	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	498	TRUE	999983	0.014911357720919	0.200283132920518	4216	16	0.0267961694208031	12147000	100
20220529 021600	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	830	TRUE	999983	0.0103243218125361	0.226860802904683	7998	198	0.0262612486522509	11947000	101
20220529 021627	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	194	TRUE	999983	0.0360419350559116	0.976210427537187	5012	993	0.0334930600182215	11114000	102
20220529 021645	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	115	TRUE	999983	0.0847036847521349	0.200419169627028	7997	536	0.0156215657424282	13328000	103
20220529 021709	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	186	TRUE	999983	0.0573440064126195	0.200444375009004	6901	157	0.0145651385310499	13203000	104
20220529 021850	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1011	TRUE	999983	0.0112669999824745	0.200415997630134	8000	108	0.00954860003653115	12133000	105
20220529 021906	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	49	TRUE	999983	0.0986617889925514	0.722695972179785	7992	39	0.0158598749101651	13079000	106
20220529 021930	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	133	TRUE	999983	0.0633634147264153	0.62007317372727	2717	892	0.0135505944698282	13451000	107
20220529 022033	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	476	TRUE	999983	0.0116438454213545	0.999577902669133	4273	571	0.0102224719704502	12430000	108
20220529 022042	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	44	TRUE	999983	0.298826347932057	0.963916240544648	7999	466	0.010728132149262	11968000	109
20220529 022102	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	96	TRUE	999983	0.0926242086308722	0.473831987144716	5943	19	0.0209203987886867	13057000	110
20220529 022110	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	14	TRUE	999983	0.297242913143466	0.980248853807592	4190	135	0.0143217025313924	12619000	111
20220529 022239	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	596	TRUE	999983	0.0111418728604502	0.395634327514424	7966	16	0.0344196748081243	10770000	112
20220529 022324	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	276	TRUE	999983	0.019598270277206	0.245291306510954	6045	1024	0.0216715081305518	13162000	113
20220529 022332	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	18	TRUE	999983	0.299536107600202	0.990612444544945	4926	1024	0.0269754937425508	12233000	114
20220529 022341	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	33	TRUE	999983	0.229001672947084	0.996483815075969	4185	17	0.0260005425868288	11187000	115
20220529 022407	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	169	TRUE	999983	0.0549540462833205	0.26223292523474	4359	1024	0.0284880878967779	11963000	116
20220529 022418	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	18	TRUE	999983	0.298731849055054	0.499896699649817	4152	1024	0.0182683535420226	12013000	117
20220529 022552	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1059	TRUE	999983	0.0100878298110379	0.983832164378842	6334	1023	0.0261524015451426	12170000	118
20220529 022725	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	767	TRUE	999983	0.0105427068661122	0.202856384590514	5270	1019	0.0112022676410393	12888000	119
20220529 022735	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	43	TRUE	999983	0.296902273032678	0.204116345922361	6081	1023	0.03457447834237	10381000	120
